неопределенное наречие*Одна из тем, | видоизменяясь, проходит через все части.*несколько
наречие места*— И что же ты делаешь в этой серой, задымлённой и мокрой Москве? Почему дома учиться не осталась? / — Да у нас | и университетов приличных особо нет.*там
подчинительный изъяснительный союз*Эти общества задались вопросом, комбинируют | шимпанзе свои восклицания.*ли
подчинительный изъяснительный союз*Считается, | при этом температура и плотность вещества Вселенной были близки к планковским значениям.*что/будто
подчинительный условный союз*Но | мы так порочны, настолько не годны для соседства и дружбы, отчего ж тогда десятки и сотни умнейших людей Европы искали утешение и видели надежду в России?*если/ежели/коли/раз
сочинительный соединительный союз*Здесь содержится 90% всего воздуха | формируются тучи.*и/да
сочинительный соединительный союз*Проводится работа с ребёнком по разъяснению его прав | обязанностей, порядка защиты прав.*и
разделительный сочинительный союз*В этом стихотворении 2 уровня: во-первых, идеи и эмоции ( «жизненные бури нужно встречать мужественно» | « любовь придаёт сил»)*или/либо
разделительный сочинительный союз*Горы, они ведь не просто так идут. Раз - и треугольником | еще как-то.*или/либо
сочинительный разделительный союз*Обучающиеся, являющиеся победителями | призерами заключительного этапа Олимпиады, освобождаются от прохождения ГАИ по этому учебному предмету.*или/либо
разделительный сочинительный союз*В нём идеи и эмоции (например, идеи: «жизненные бури нужно встречать мужественно» | «любовь придаёт сил»; а эмоции – «тревога» и «нежность»)*или/либо
разделительный сочинительный союз*Слово «лиловый» имеет значение «светло-фиолетовый», цвета сирени | фиалки.*или/либо
подчинительный временной союз*И не успокоится моё сердце, | в Москве не встанет изваяние ГЕРОЮ ТРУДА СССР.*пока/покуда/до тех пор пока/дотехпорпока
противительный сочинительный союз*Познакомившись с Блоком, Белый узнал его с новых сторон. | при всей тонкости его проникновения в душу Блока он так и не разглядел многое.*однако/но/тем не менее/темнеменее
уступительный союз*| в наше время – время грандиозных открытий,  в век космонавтики и электроники – невозможно «всё знать», Лев Васильевич «даёт повод» так о нём говорить.*хотя/несмотря на то что/невзирая на то что/пусть/несмотрянаточто/невзираянаточто
составной производный предлог*Никто не может получать какие-то преимущества | пола, расы, цвета кожи.*в зависимости от/взависимостиот
составной отыменный предлог*К принудительному труду относится работа, которую работник вынужден выполнять под угрозой, в то время как | настоящим Кодексом он имеет право отказаться от её выполнения.*в соОтвет
ствии с/всоОтвет
ствиис
отглагольный предлог*Мариинский театр | 160 лет вернул оперу Верди публике.*спустя
простой производный наречный предлог*В 1919 году Эддингтон  сообщил о наблюдении отклонения света | Солнца в момент полного солнечного затмения.*вблизи/возле/около/подле/вокруг
простой производный наречный предлог*Бодуэн де Куртенэ должен был идти в Петропавловскую крепость в силу приговора , вынесенного | него по политическому делу.*против
указательное местоимение*Познавательный интерес поможет выделить именно | аспекты, которые позволят привлечь внимание учеников.*те/такие
указательное местоимение*В педагогической практике познавательный интерес рассматривают часто лишь как инструмент учителя, позволяющий выделить в обучении именно | аспекты, которые смогут привлечь к себе внимание учеников.*те/такие
указательное местоимение*Ведущую роль в | процессе на определённом историческом этапе развития страны играет обычно наиболее передовая, культурная часть общества.*этом/том/таком
личное местоимение*Бунин пишет прекрасные стихи. И пишет | тогда, когда у него есть что сказать.*их/он
личное местоимение*У двухлетних и трёхлетних детей такое сильное чутьё языка, что создаваемые | слова отнюдь не кажутся калеками или уродами речи, а, напротив, очень метки, изящны, естественны.*ими
относительное местоимение*В «Слове о полку Игореве» картина поведения энклитик чрезвычайно близка к тому, | наблюдается в древнерусских памятниках.*что
относительное местоимение*Образ Александры Соколовой, | предстояло создать Марецкой, был новым и необычным не только для актрисы, но и для всего советского кино.*который/что
относительное местоимение*Русский язык распадается на множество речевых вариантов, | обусловлены возрастом говорящих, их социальным происхождением и положением, уровнем образования, местом, где они живут.*которые
неопределенное местоимение*Любовный треугольник, которым манипулирует провокатор Тонио, кажется | искусственным.*каким-то/чем-то/неким/несколько
определительное местоимение*Язык неразрывно связан с искусством и при определенном подходе и | становится явлением искусства.*сам
определительное местоимение*Но | ход рассказа, его завязка и развязка, его чудесное остались неприкосновенными.*сам/самый
